jobNumber,StartTime,EndTime,JobLength,ElapsedTime
592,1/1/2020 12:00:00 AM,1/1/2020 2:56:17 AM,9955,10577,1691
616,1/1/2020 12:00:00 AM,1/1/2020 2:56:17 AM,9972,10577,1785
101,1/1/2020 12:00:00 AM,1/1/2020 2:56:27 AM,9883,10587,234
306,1/1/2020 12:00:00 AM,1/1/2020 2:56:29 AM,9975,10589,744
728,1/1/2020 12:00:00 AM,1/1/2020 2:56:31 AM,9132,10591,2382
741,1/1/2020 12:00:00 AM,1/1/2020 2:56:37 AM,9967,10597,2501
435,1/1/2020 12:00:00 AM,1/1/2020 2:56:50 AM,9720,10610,1129
33,1/1/2020 12:00:00 AM,1/1/2020 2:56:53 AM,9435,10613,79
85,1/1/2020 12:00:00 AM,1/1/2020 2:57:05 AM,9979,10625,200
50,1/1/2020 12:00:00 AM,1/1/2020 2:57:24 AM,9053,10644,119
167,1/1/2020 12:00:00 AM,1/1/2020 2:57:26 AM,9982,10646,394
170,1/1/2020 12:00:00 AM,1/1/2020 2:57:30 AM,10035,10650,400
312,1/1/2020 12:00:00 AM,1/1/2020 2:57:51 AM,10132,10671,764
695,1/1/2020 12:00:00 AM,1/1/2020 2:57:54 AM,10072,10674,2164
321,1/1/2020 12:00:00 AM,1/1/2020 2:59:53 AM,10261,10793,784
317,1/1/2020 12:00:00 AM,1/1/2020 2:59:58 AM,10361,10798,775
212,1/1/2020 12:00:00 AM,1/1/2020 3:01:38 AM,9552,10898,506
732,1/1/2020 12:00:00 AM,1/1/2020 3:01:38 AM,10597,10898,2421
342,1/1/2020 12:00:00 AM,1/1/2020 3:01:40 AM,9922,10900,848
344,1/1/2020 12:00:00 AM,1/1/2020 3:01:50 AM,10405,10910,854
608,1/1/2020 12:00:00 AM,1/1/2020 3:02:06 AM,10039,10926,1755
755,1/1/2020 1:05:34 AM,1/1/2020 3:02:53 AM,5654,7039,494
704,1/1/2020 12:00:00 AM,1/1/2020 3:03:25 AM,10142,11005,2215
540,1/1/2020 12:00:00 AM,1/1/2020 3:05:44 AM,10085,11144,1484
